District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
King Philip	06900000	SCI	         196	56	          21	6	         175	50	         140	40	          13	4	         349	     503.0		
Kingston	01450000	ELA	         342	56	          49	8	         293	48	         217	36	          48	8	         607	     502.7	          45.9	         417
Kingston	01450000	MATH	         319	52	          30	5	         289	48	         239	39	          50	8	         608	     500.3	          44.4	         416
Kingston	01450000	SCI	          95	66	          21	15	          74	52	          39	27	           9	6	         143	     507.4		
Lawrence	01490000	ELA	       1,919	30	         175	3	       1,744	27	       2,927	46	       1,531	24	       6,377	     488.2	          49.6	       4,575
Lawrence	01490000	MATH	       1,974	31	         190	3	       1,784	28	       2,981	47	       1,437	22	       6,392	     488.7	          51.6	       4,579
Lawrence	01490000	SCI	         535	24	          35	2	         500	23	       1,036	47	         637	29	       2,208	     483.5		
Lawrence Family Development Charter (District)	04540000	ELA	         260	62	          51	12	         209	50	         142	34	          18	4	         420	     506.4	          49.8	         336
Lawrence Family Development Charter (District)	04540000	MATH	         231	55	          28	7	         203	48	         171	41	          18	4	         420	     502.1	          52.8	         336
Lawrence Family Development Charter (District)	04540000	SCI	          69	56	          12	10	          57	46	          49	40	           6	5	         124	     503.1		
Learning First Charter Public School (District)	04860000	ELA	         102	24	           5	1	          97	22	         245	57	          86	20	         433	     486.9	          48.8	         333
Learning First Charter Public School (District)	04860000	MATH	          82	19	           3	1	          79	18	         246	57	         105	24	         433	     483.5	          54.5	         333
Learning First Charter Public School (District)	04860000	SCI	          23	18	           0	0	          23	18	          84	66	          20	16	         127	     485.0		
Lee	01500000	ELA	         141	49	          29	10	         112	39	         119	42	          25	9	         285	     501.3	          54.4	         220
Lee	01500000	MATH	         125	44	          10	4	         115	41	         137	48	          21	7	         283	     498.0	          50.4	         220
Lee	01500000	SCI	          39	42	           5	5	          34	37	          43	46	          11	12	          93	     495.5		
Leicester	01510000	ELA	         280	40	          37	5	         243	35	         335	48	          82	12	         697	     495.8	          50.4	         571
Leicester	01510000	MATH	         268	39	          25	4	         243	35	         357	51	          69	10	         694	     495.4	          54.6	         572
Leicester	01510000	SCI	         107	44	          13	5	          94	39	         113	47	          23	9	         243	     497.6		
Lenox	01520000	ELA	         233	68	          40	12	         193	56	         103	30	           7	2	         343	     509.5	          51.1	         279
Lenox	01520000	MATH	         234	68	          54	16	         180	53	          97	28	          11	3	         342	     509.6	          54.3	         278
Lenox	01520000	SCI	          73	60	           5	4	          68	56	          43	36	           5	4	         121	     505.4		
Leominster	01530000	ELA	       1,196	43	         122	4	       1,074	38	       1,237	44	         370	13	       2,803	     496.3	          46.2	       2,140
Leominster	01530000	MATH	       1,315	47	         189	7	       1,126	40	       1,136	40	         356	13	       2,807	     498.0	          49.2	       2,149
Leominster	01530000	SCI	         458	49	          61	7	         397	43	         361	39	         109	12	         928	     498.9		
Leverett	01540000	ELA	          42	64	           3	5	          39	59	          22	33	           2	3	          66	     505.4	          45.9	          47
Leverett	01540000	MATH	          44	67	           7	11	          37	56	          18	27	           4	6	          66	     507.7	          57.4	          47
Leverett	01540000	SCI	           9	60	           1	7	           8	53	           6	40	           0	0	          15	     503.4		
Lexington	01550000	ELA	       2,772	79	       1,005	28	       1,767	50	         654	19	         102	3	       3,528	     518.0	          56.4	       2,742
Lexington	01550000	MATH	       2,887	82	       1,291	37	       1,596	45	         519	15	         126	4	       3,532	     521.0	          61.5	       2,743
Lexington	01550000	SCI	         966	78	         332	27	         634	51	         232	19	          45	4	       1,243	     515.5		
Libertas Academy Charter School (District)	35140000	ELA	          37	23	           0	0	          37	23	          82	50	          44	27	         163	     482.4	          40.1	         140
Libertas Academy Charter School (District)	35140000	MATH	          55	34	           4	2	          51	31	          84	52	          24	15	         163	     490.1	          52.4	         139
Lincoln	01570000	ELA	         432	61	          85	12	         347	49	         246	34	          36	5	         714	     506.4	          53.7	         479
Lincoln	01570000	MATH	         420	59	          72	10	         348	49	         242	34	          49	7	         711	     503.8	          44.5	         477
Lincoln	01570000	SCI	         135	55	          28	11	         107	44	          96	39	          13	5	         244	     503.7		
Littleton	01580000	ELA	         521	67	          91	12	         430	55	         223	29	          32	4	         776	     508.2	          51.0	         621
Littleton	01580000	MATH	         476	62	          94	12	         382	49	         259	34	          38	5	         773	     505.8	          52.8	         622
Littleton	01580000	SCI	         166	65	          42	16	         124	48	          83	32	           7	3	         256	     509.6		
Longmeadow	01590000	ELA	         902	71	         232	18	         670	53	         310	24	          59	5	       1,271	     511.5	          53.9	       1,037
Longmeadow	01590000	MATH	         863	68	         210	16	         653	51	         364	29	          46	4	       1,273	     509.8	          52.8	       1,038
Longmeadow	01590000	SCI	         299	66	          83	18	         216	48	         135	30	          19	4	         453	     509.8		
Lowell	01600000	ELA	       2,664	38	         418	6	       2,246	32	       3,031	43	       1,307	19	       7,002	     493.5	          47.6	       5,248
Lowell	01600000	MATH	       2,625	37	         315	4	       2,310	33	       3,167	45	       1,220	17	       7,012	     492.8	          49.4	       5,252
Lowell	01600000	SCI	         548	25	          45	2	         503	23	       1,101	50	         554	25	       2,203	     485.5		
Lowell Community Charter Public (District)	04560000	ELA	         266	55	          46	9	         220	45	         198	41	          23	5	         487	     503.3	          53.5	         395
Lowell Community Charter Public (District)	04560000	MATH	         252	52	          36	7	         216	44	         201	41	          33	7	         486	     500.3	          42.6	         394
Lowell Community Charter Public (District)	04560000	SCI	          52	34	           8	5	          44	28	          85	55	          18	12	         155	     493.0		
Ludlow	01610000	ELA	         456	40	          34	3	         422	37	         557	49	         129	11	       1,142	     494.7	          46.1	         933
Ludlow	01610000	MATH	         483	42	          73	6	         410	36	         534	47	         126	11	       1,143	     496.1	          51.4	         932
Ludlow	01610000	SCI	         170	41	          16	4	         154	37	         199	48	          44	11	         413	     495.6		
Lunenburg	01620000	ELA	         367	47	          31	4	         336	43	         349	45	          59	8	         775	     499.0	          47.7	         629
Lunenburg	01620000	MATH	         429	55	          43	6	         386	50	         289	37	          57	7	         775	     501.1	          50.5	         626
Lunenburg	01620000	SCI	         152	58	          28	11	         124	48	          93	36	          16	6	         261	     505.0		
Lynn	01630000	ELA	       2,678	38	         335	5	       2,343	33	       3,189	45	       1,208	17	       7,075	     493.4	          50.8	       5,220
Lynn	01630000	MATH	       2,651	37	         265	4	       2,386	34	       3,242	46	       1,181	17	       7,074	     492.9	          53.8	       5,229
Lynn	01630000	SCI	         946	41	         148	6	         798	35	       1,003	44	         351	15	       2,300	     495.5		
Lynnfield	01640000	ELA	         792	77	         203	20	         589	57	         229	22	          14	1	       1,035	     514.3	          54.8	         829
Lynnfield	01640000	MATH	         795	77	         178	17	         617	60	         223	22	          16	2	       1,034	     512.4	          49.2	         828
Lynnfield	01640000	SCI	         235	73	          51	16	         184	57	          79	24	           9	3	         323	     511.4		
Malden	01650000	ELA	       1,451	50	         290	10	       1,161	40	       1,061	37	         373	13	       2,885	     500.0	          55.9	       2,181
Malden	01650000	MATH	       1,174	41	         194	7	         980	34	       1,271	44	         443	15	       2,888	     495.0	          51.3	       2,182
Malden	01650000	SCI	         370	41	          54	6	         316	35	         401	44	         141	15	         912	     494.6		
Manchester Essex Regional	06980000	ELA	         455	69	          81	12	         374	57	         184	28	          22	3	         661	     509.1	          47.2	         553
Manchester Essex Regional	06980000	MATH	         416	63	          81	12	         335	51	         208	32	          36	5	         660	     505.9	          45.0	         554
Manchester Essex Regional	06980000	SCI	         154	63	          21	9	         133	54	          84	34	           7	3	         245	     506.4		
Mansfield	01670000	ELA	       1,001	59	         151	9	         850	50	         590	35	         115	7	       1,706	     503.9	          49.5	       1,380
Mansfield	01670000	MATH	       1,010	59	         162	10	         848	50	         590	35	         104	6	       1,704	     504.4	          50.0	       1,381
Mansfield	01670000	SCI	         329	54	          43	7	         286	47	         231	38	          51	8	         611	     501.6		
Marblehead	01680000	ELA	         865	65	         143	11	         722	54	         399	30	          62	5	       1,326	     507.1	          48.1	       1,060
Marblehead	01680000	MATH	         839	63	         153	12	         686	52	         415	31	          70	5	       1,324	     506.5	          57.1	       1,055
Marblehead	01680000	SCI	         264	61	          51	12	         213	49	         154	35	          17	4	         435	     506.6		
Marblehead Community Charter Public (District)	04640000	ELA	         121	53	          10	4	         111	49	          90	40	          16	7	         227	     499.7	          41.6	         204
Marblehead Community Charter Public (District)	04640000	MATH	         115	51	          16	7	          99	44	         103	45	           9	4	         227	     501.4	          44.7	         204
Marblehead Community Charter Public (District)	04640000	SCI	          64	70	          10	11	          54	59	          25	27	           3	3	          92	     507.3		
Marion	01690000	ELA	         159	61	          21	8	         138	53	          86	33	          14	5	         259	     505.7	          38.7	         183
Marion	01690000	MATH	         153	59	          31	12	         122	47	          93	36	          13	5	         259	     506.3	          45.4	         183
Marion	01690000	SCI	          36	60	           7	12	          29	48	          24	40	           0	0	          60	     505.7		
Marlborough	01700000	ELA	         911	42	         141	7	         770	36	         912	42	         343	16	       2,166	     495.6	          51.2	       1,634
Marlborough	01700000	MATH	         790	36	         116	5	         674	31	       1,030	47	         353	16	       2,173	     492.6	          46.8	       1,632
Marlborough	01700000	SCI	         260	36	          35	5	         225	32	         331	46	         122	17	         713	     492.0		
Marshfield	01710000	ELA	       1,321	73	         381	21	         940	52	         427	24	          56	3	       1,804	     513.6	          56.4	       1,495
Marshfield	01710000	MATH	       1,286	71	         248	14	       1,038	57	         461	26	          59	3	       1,806	     509.9	          57.3	       1,490
Marshfield	01710000	SCI	         389	62	          70	11	         319	51	         215	34	          23	4	         627	     506.6		
Martha's Vineyard Charter Public School (District)	04660000	ELA	          65	63	          17	16	          48	46	          36	35	           3	3	         104	     507.6	          66.5	          82
Martha's Vineyard Charter Public School (District)	04660000	MATH	          42	41	           3	3	          39	38	          54	53	           6	6	         102	     495.9	          55.8	          79
Martha's Vineyard Charter Public School (District)	04660000	SCI	          16	47	           2	6	          14	41	          17	50	           1	3	          34	     501.3		
Martin Luther King, Jr. Charter School of Excellence (District)	04920000	ELA	          66	37	           1	1	          65	37	          97	55	          14	8	         177	     494.8	          36.6	         106
Martin Luther King, Jr. Charter School of Excellence (District)	04920000	MATH	          76	43	           5	3	          71	40	          91	51	          10	6	         177	     499.0	          46.3	         108
Martin Luther King, Jr. Charter School of Excellence (District)	04920000	SCI	          29	51	           2	4	          27	47	          27	47	           1	2	          57	     500.6		
Masconomet	07050000	ELA	         473	74	         121	19	         352	55	         147	23	          22	3	         642	     512.7	          57.8	         602
Masconomet	07050000	MATH	         455	71	         104	16	         351	55	         167	26	          17	3	         639	     510.3	          51.1	         600
Masconomet	07050000	SCI	         269	80	          95	28	         174	52	          59	18	           7	2	         335	     517.3		
Mashpee	01720000	ELA	         380	50	          46	6	         334	44	         307	41	          66	9	         753	     500.1	          49.1	         601
Mashpee	01720000	MATH	         366	49	          55	7	         311	41	         323	43	          61	8	         750	     499.5	          48.9	         598
Mashpee	01720000	SCI	         125	48	          11	4	         114	43	         117	44	          21	8	         263	     498.8		
Match Charter Public School (District)	04690000	ELA	         230	41	          31	6	         199	35	         269	48	          63	11	         562	     496.4	          51.9	         438
Match Charter Public School (District)	04690000	MATH	         246	44	          20	4	         226	40	         272	48	          46	8	         564	     496.4	          61.2	         440
Match Charter Public School (District)	04690000	SCI	          53	28	           4	2	          49	26	         103	54	          33	17	         189	     489.7		
Mattapoisett	01730000	ELA	         189	74	          50	20	         139	54	          62	24	           5	2	         256	     514.3	          62.5	         185
Mattapoisett	01730000	MATH	         183	72	          40	16	         143	56	          62	24	          10	4	         255	     510.2	          60.3	         184
Mattapoisett	01730000	SCI	          55	81	          10	15	          45	66	          10	15	           3	4	          68	     510.9		
Maynard	01740000	ELA	         266	45	          16	3	         250	43	         268	46	          52	9	         586	     496.9	          48.3	         456
Maynard	01740000	MATH	         273	47	          30	5	         243	41	         253	43	          61	10	         587	     496.6	          54.2	         459
Maynard	01740000	SCI	         127	62	          15	7	         112	55	          63	31	          14	7	         204	     503.4		
Medfield	01750000	ELA	         879	75	         167	14	         712	60	         273	23	          25	2	       1,177	     511.1	          52.3	         948
Medfield	01750000	MATH	         841	71	         190	16	         651	55	         304	26	          32	3	       1,177	     511.1	          51.4	         949
Medfield	01750000	SCI	         279	69	          58	14	         221	55	         114	28	          11	3	         404	     509.7		
Medford	01760000	ELA	         892	48	         130	7	         762	41	         749	41	         206	11	       1,847	     499.0	          50.8	       1,444
Medford	01760000	MATH	         737	40	          98	5	         639	35	         864	47	         245	13	       1,846	     494.8	          51.8	       1,441
Medford	01760000	SCI	         274	42	          46	7	         228	35	         288	44	          86	13	         648	     495.9		
Medway	01770000	ELA	         660	64	         161	16	         499	49	         319	31	          48	5	       1,027	     508.2	          48.5	         836
Medway	01770000	MATH	         634	62	         113	11	         521	51	         354	34	          40	4	       1,028	     505.8	          47.5	         835
Medway	01770000	SCI	         206	58	          27	8	         179	50	         135	38	          15	4	         356	     504.2		
Melrose	01780000	ELA	       1,215	73	         342	21	         873	53	         379	23	          60	4	       1,654	     513.3	          57.9	       1,295
Melrose	01780000	MATH	       1,079	65	         225	14	         854	52	         491	30	          84	5	       1,654	     507.7	          47.3	       1,295
Melrose	01780000	SCI	         328	61	          82	15	         246	46	         183	34	          23	4	         534	     506.5		
Mendon-Upton	07100000	ELA	         639	57	          92	8	         547	49	         390	35	          91	8	       1,120	     503.2	          45.0	         910
Mendon-Upton	07100000	MATH	         556	50	          84	8	         472	42	         466	42	          97	9	       1,119	     500.4	          41.9	         907
Mendon-Upton	07100000	SCI	         216	55	          31	8	         185	47	         152	38	          27	7	         395	     501.9		
Methuen	01810000	ELA	       1,453	43	         226	7	       1,227	36	       1,456	43	         453	13	       3,362	     497.2	          47.7	       2,601
Methuen	01810000	MATH	       1,388	41	         194	6	       1,194	35	       1,486	44	         490	15	       3,364	     495.4	          47.7	       2,599
Methuen	01810000	SCI	         370	32	          40	3	         330	29	         584	51	         192	17	       1,146	     491.6		
Middleborough	01820000	ELA	         701	48	         112	8	         589	40	         621	42	         153	10	       1,475	     499.2	          50.0	       1,200
Middleborough	01820000	MATH	         712	48	          96	7	         616	42	         628	43	         131	9	       1,471	     499.2	          44.9	       1,198
Middleborough	01820000	SCI	         255	49	          24	5	         231	45	         211	41	          50	10	         516	     500.1		
Middleton	01840000	ELA	         244	68	          47	13	         197	55	          98	27	          17	5	         359	     508.8	          47.8	         268
Middleton	01840000	MATH	         245	68	          37	10	         208	58	          94	26	          20	6	         359	     508.1	          60.6	         267
Middleton	01840000	SCI	          71	69	          17	17	          54	52	          25	24	           7	7	         103	     510.0		
Milford	01850000	ELA	         995	50	         157	8	         838	42	         819	41	         184	9	       1,998	     500.1	          52.0	       1,539
Milford	01850000	MATH	         817	41	         102	5	         715	36	         948	47	         236	12	       2,001	     495.0	          47.3	       1,542
Milford	01850000	SCI	         352	51	          60	9	         292	43	         277	40	          57	8	         686	     500.4		
Millbury	01860000	ELA	         376	44	          34	4	         342	40	         386	46	          86	10	         848	     497.2	          43.3	         684
Millbury	01860000	MATH	         333	39	          34	4	         299	35	         429	50	          90	11	         852	     495.4	          47.2	         684
Millbury	01860000	SCI	         132	48	          11	4	         121	44	         127	46	          18	6	         277	     499.6		
Millis	01870000	ELA	         349	62	          72	13	         277	49	         190	34	          25	4	         564	     506.2	          53.2	         465
Millis	01870000	MATH	         343	61	          72	13	         271	48	         190	34	          30	5	         563	     505.9	          55.6	         464
Millis	01870000	SCI	          99	54	          17	9	          82	45	          76	42	           8	4	         183	     503.7		
Milton	01890000	ELA	       1,438	71	         335	17	       1,103	55	         495	24	          90	4	       2,023	     511.1	          55.6	       1,601
Milton	01890000	MATH	       1,396	69	         261	13	       1,135	56	         541	27	          85	4	       2,022	     509.0	          51.3	       1,598
Milton	01890000	SCI	         421	65	         108	17	         313	48	         199	31	          26	4	         646	     508.8		
Mohawk Trail	07170000	ELA	         185	50	          25	7	         160	43	         154	41	          34	9	         373	     500.1	          49.1	         287
Mohawk Trail	07170000	MATH	         146	39	          10	3	         136	36	         195	52	          36	10	         377	     494.7	          47.6	         289
Mohawk Trail	07170000	SCI	          50	47	           5	5	          45	42	          42	40	          14	13	         106	     497.1		
Monomoy Regional School District	07120000	ELA	         520	57	         102	11	         418	46	         316	35	          70	8	         906	     504.0	          53.7	         716
Monomoy Regional School District	07120000	MATH	         469	52	          51	6	         418	46	         376	41	          62	7	         907	     500.7	          54.2	         717
Monomoy Regional School District	07120000	SCI	         174	60	          36	12	         138	48	          99	34	          16	6	         289	     505.6		
Monson	01910000	ELA	         208	52	          42	11	         166	42	         161	40	          30	8	         399	     503.4	          47.4	         302
Monson	01910000	MATH	         174	44	          19	5	         155	39	         180	45	          45	11	         399	     496.0	          44.8	         300
Monson	01910000	SCI	          57	48	           5	4	          52	44	          51	43	          11	9	         119	     498.3		
Mount Greylock	07150000	ELA	         381	68	         118	21	         263	47	         157	28	          21	4	         559	     511.9	          56.0	         436
Mount Greylock	07150000	MATH	         333	59	          69	12	         264	47	         188	34	          39	7	         560	     505.0	          38.6	         436
Mount Greylock	07150000	SCI	         118	67	          25	14	          93	53	          48	27	          10	6	         176	     506.4		
Mystic Valley Regional Charter (District)	04700000	ELA	         525	66	          83	10	         442	56	         258	32	          11	1	         794	     507.6	          49.7	         646
Mystic Valley Regional Charter (District)	04700000	MATH	         468	59	          70	9	         398	50	         303	38	          22	3	         793	     504.4	          48.0	         646
Mystic Valley Regional Charter (District)	04700000	SCI	         122	46	          17	6	         105	40	         127	48	          14	5	         263	     499.3		
Nahant	01960000	ELA	          41	55	           8	11	          33	45	          30	41	           3	4	          74	     505.5	          52.2	          51
Nahant	01960000	MATH	          31	42	           8	11	          23	31	          41	55	           2	3	          74	     501.0	          60.7	          51
Nahant	01960000	SCI	           6	46	           1	8	           5	38	           5	38	           2	15	          13	     501.2		
Nantucket	01970000	ELA	         316	43	          41	6	         275	37	         341	46	          85	11	         742	     495.8	          49.9	         568
Nantucket	01970000	MATH	         263	35	          25	3	         238	32	         384	52	          96	13	         743	     493.4	          52.7	         566
Nantucket	01970000	SCI	         119	45	          11	4	         108	41	         116	44	          31	12	         266	     495.9		
Narragansett	07200000	ELA	         294	41	          20	3	         274	39	         326	46	          90	13	         710	     494.9	          47.7	         576
Narragansett	07200000	MATH	         296	42	          26	4	         270	38	         325	46	          89	13	         710	     495.0	          55.6	         576
Narragansett	07200000	SCI	          98	40	          10	4	          88	36	         120	50	          24	10	         242	     496.3		
Nashoba	07250000	ELA	       1,142	75	         299	20	         843	55	         338	22	          49	3	       1,529	     513.3	          56.4	       1,230
Nashoba	07250000	MATH	       1,083	71	         266	17	         817	54	         397	26	          47	3	       1,527	     510.9	          53.1	       1,227
Nashoba	07250000	SCI	         337	70	          84	17	         253	52	         128	27	          18	4	         483	     510.9		
Natick	01980000	ELA	       1,701	68	         396	16	       1,305	52	         686	27	         124	5	       2,511	     509.5	          54.1	       2,002
Natick	01980000	MATH	       1,665	66	         419	17	       1,246	50	         712	28	         133	5	       2,510	     508.9	          55.4	       2,000
Natick	01980000	SCI	         509	61	         111	13	         398	48	         278	33	          48	6	         835	     506.1		
Nauset	06600000	ELA	         344	62	          71	13	         273	49	         176	31	          39	7	         559	     506.4	          51.9	         525
Nauset	06600000	MATH	         325	58	          38	7	         287	52	         199	36	          33	6	         557	     503.0	          51.7	         525
Nauset	06600000	SCI	         119	66	          23	13	          96	54	          51	28	           9	5	         179	     506.4		
Needham	01990000	ELA	       2,031	76	         640	24	       1,391	52	         550	21	          75	3	       2,656	     515.4	          59.2	       2,077
Needham	01990000	MATH	       1,937	73	         518	19	       1,419	53	         629	24	          93	3	       2,659	     512.2	          56.9	       2,074
Needham	01990000	SCI	         620	70	         145	16	         475	54	         235	27	          30	3	         885	     510.3		
Neighborhood House Charter (District)	04440000	ELA	         168	48	          34	10	         134	38	         148	42	          35	10	         351	     499.7	          47.4	         278
Neighborhood House Charter (District)	04440000	MATH	         120	34	           8	2	         112	32	         194	55	          38	11	         352	     493.4	          54.5	         278
Neighborhood House Charter (District)	04440000	SCI	          32	25	           2	2	          30	23	          77	60	          20	16	         129	     489.7		
New Bedford	02010000	ELA	       2,207	34	         251	4	       1,956	31	       2,952	46	       1,246	19	       6,405	     491.2	          43.7	       4,722
New Bedford	02010000	MATH	       2,052	32	         242	4	       1,810	28	       3,019	47	       1,337	21	       6,408	     489.5	          42.5	       4,731
New Bedford	02010000	SCI	         519	26	          50	2	         469	23	         985	49	         501	25	       2,005	     486.1		
New Heights Charter School of Brockton (District)	35130000	ELA	          82	26	           4	1	          78	24	         169	53	          68	21	         319	     486.3	          39.9	         288
New Heights Charter School of Brockton (District)	35130000	MATH	          75	24	           6	2	          69	22	         184	58	          59	19	         318	     485.9	          45.7	         287
New Heights Charter School of Brockton (District)	35130000	SCI	          23	22	           0	0	          23	22	          65	61	          18	17	         106	     486.4		
New Salem-Wendell	07280000	ELA	          41	54	           5	7	          36	47	          30	39	           5	7	          76	     502.7	          61.5	          54
New Salem-Wendell	07280000	MATH	          46	61	           4	5	          42	55	          25	33	           5	7	          76	     501.7	          77.7	          54
New Salem-Wendell	07280000	SCI	           8	40	           2	10	           6	30	           9	45	           3	15	          20	     495.1		
Newburyport	02040000	ELA	         604	60	          82	8	         522	51	         353	35	          57	6	       1,014	     504.3	          48.1	         822
Newburyport	02040000	MATH	         534	53	          88	9	         446	44	         410	40	          69	7	       1,013	     502.0	          47.2	         820
Newburyport	02040000	SCI	         208	57	          29	8	         179	49	         134	37	          24	7	         366	     502.9		
Newton	02070000	ELA	       4,256	73	       1,143	20	       3,113	53	       1,324	23	         239	4	       5,819	     512.5	          58.0	       4,556
Newton	02070000	MATH	       4,235	73	       1,227	21	       3,008	52	       1,332	23	         247	4	       5,814	     512.5	          57.9	       4,565
Newton	02070000	SCI	       1,287	66	         287	15	       1,000	51	         564	29	          99	5	       1,950	     508.4		
Norfolk	02080000	ELA	         348	67	          47	9	         301	58	         162	31	           8	2	         518	     507.9	          51.8	         359
Norfolk	02080000	MATH	         355	69	          66	13	         289	56	         149	29	          13	3	         517	     508.6	          54.4	         359
Norfolk	02080000	SCI	          90	69	           7	5	          83	63	          35	27	           6	5	         131	     506.6		
North Adams	02090000	ELA	         242	38	          32	5	         210	33	         304	48	          89	14	         635	     493.8	          45.2	         495
North Adams	02090000	MATH	         174	27	          18	3	         156	25	         366	58	          94	15	         634	     489.4	          45.1	         494
North Adams	02090000	SCI	          45	21	           3	1	          42	19	         137	63	          35	16	         217	     487.2		
North Andover	02110000	ELA	       1,311	61	         236	11	       1,075	50	         710	33	         132	6	       2,153	     506.0	          51.2	       1,700
North Andover	02110000	MATH	       1,333	62	         283	13	       1,050	49	         680	32	         138	6	       2,151	     506.9	          54.1	       1,697
North Andover	02110000	SCI	         384	53	          62	8	         322	44	         294	40	          53	7	         731	     501.7		
North Attleborough	02120000	ELA	       1,213	59	         206	10	       1,007	49	         710	35	         126	6	       2,049	     504.9	          47.4	       1,643
North Attleborough	02120000	MATH	       1,133	55	         170	8	         963	47	         764	37	         153	7	       2,050	     501.7	          45.1	       1,637
North Attleborough	02120000	SCI	         433	64	          76	11	         357	53	         207	31	          37	5	         677	     506.5		
North Brookfield	02150000	ELA	          93	34	           3	1	          90	33	         137	50	          43	16	         273	     490.8	          47.0	         217
North Brookfield	02150000	MATH	          82	30	           3	1	          79	29	         137	51	          52	19	         271	     488.7	          46.4	         213
North Brookfield	02150000	SCI	          28	30	           0	0	          28	30	          50	54	          15	16	          93	     487.7		
North Middlesex	07350000	ELA	         861	58	         154	10	         707	47	         551	37	          81	5	       1,493	     504.9	          53.1	       1,196
North Middlesex	07350000	MATH	         786	53	         117	8	         669	45	         607	41	         101	7	       1,494	     501.8	          50.1	       1,193
North Middlesex	07350000	SCI	         252	52	          40	8	         212	44	         208	43	          27	6	         487	     502.2		
North Reading	02170000	ELA	         830	75	         231	21	         599	54	         251	23	          30	3	       1,111	     513.9	          58.8	         889
North Reading	02170000	MATH	         806	73	         166	15	         640	58	         268	24	          33	3	       1,107	     511.0	          57.9	         884
North Reading	02170000	SCI	         295	75	          83	21	         212	54	          87	22	          13	3	         395	     513.7		
Northampton	02100000	ELA	         620	54	         102	9	         518	45	         397	35	         126	11	       1,143	     501.1	          48.5	         898
Northampton	02100000	MATH	         511	45	          71	6	         440	39	         488	43	         142	12	       1,141	     496.5	          45.3	         893
Northampton	02100000	SCI	         194	48	          38	9	         156	38	         178	44	          36	9	         408	     499.9		
Northborough	02130000	ELA	         730	66	         130	12	         600	54	         329	30	          47	4	       1,106	     507.9	          50.8	         869
Northborough	02130000	MATH	         704	64	         161	15	         543	49	         345	31	          56	5	       1,105	     507.4	          53.9	         869
Northborough	02130000	SCI	         245	70	          57	16	         188	53	          88	25	          19	5	         352	     510.4		
Northbridge	02140000	ELA	         499	49	          69	7	         430	42	         415	41	         101	10	       1,015	     499.3	          44.7	         837
Northbridge	02140000	MATH	         426	42	          55	5	         371	37	         478	47	         110	11	       1,014	     496.5	          48.9	         834
Northbridge	02140000	SCI	         178	48	          23	6	         155	42	         158	43	          34	9	         370	     499.0		
Norton	02180000	ELA	         589	52	          91	8	         498	44	         464	41	          88	8	       1,141	     501.5	          45.9	         938
Norton	02180000	MATH	         518	45	          54	5	         464	41	         523	46	          98	9	       1,139	     498.0	          44.3	         935
Norton	02180000	SCI	         190	48	          21	5	         169	43	         169	43	          36	9	         395	     498.3		
Norwell	02190000	ELA	         748	74	         185	18	         563	56	         225	22	          39	4	       1,012	     512.4	          56.3	         808
Norwell	02190000	MATH	         718	71	         138	14	         580	57	         262	26	          30	3	       1,010	     509.7	          59.0	         808
Norwell	02190000	SCI	         235	71	          44	13	         191	58	          88	27	           9	3	         332	     509.5		
Norwood	02200000	ELA	         787	52	         119	8	         668	45	         561	37	         152	10	       1,500	     501.0	          46.6	       1,138
Norwood	02200000	MATH	         772	51	         136	9	         636	42	         576	38	         152	10	       1,500	     500.5	          46.9	       1,135
Norwood	02200000	SCI	         216	45	          29	6	         187	39	         202	42	          65	13	         483	     497.2		
Oak Bluffs	02210000	ELA	         193	65	          35	12	         158	53	          92	31	          12	4	         297	     507.5	          57.3	         223
Oak Bluffs	02210000	MATH	         160	54	          16	5	         144	48	         124	42	          14	5	         298	     502.3	          64.2	         223
Oak Bluffs	02210000	SCI	          60	59	           5	5	          55	54	          36	35	           6	6	         102	     504.5		
Old Rochester	07400000	ELA	         318	73	          81	19	         237	55	         110	25	           5	1	         433	     512.6	          59.0	         419
Old Rochester	07400000	MATH	         276	64	          48	11	         228	53	         148	34	          10	2	         434	     506.9	          45.8	         420
Old Rochester	07400000	SCI	         140	63	          27	12	         113	51	          78	35	           4	2	         222	     507.5		
Old Sturbridge Academy Charter Public School (District)	35150000	ELA	          43	54	           9	11	          34	43	          32	40	           5	6	          80	     504.4	          61.1	          37
Old Sturbridge Academy Charter Public School (District)	35150000	MATH	          31	39	           1	1	          30	38	          38	48	          11	14	          80	     494.6	          52.2	          37
Orange	02230000	ELA	          74	23	           4	1	          70	22	         177	55	          68	21	         319	     486.6	          42.2	         226
Orange	02230000	MATH	          70	22	           4	1	          66	21	         179	56	          71	22	         320	     485.5	          54.2	         222
Orange	02230000	SCI	          20	21	           1	1	          19	20	          55	58	          20	21	          95	     484.8		
Orleans	02240000	ELA	          81	74	          26	24	          55	50	          26	24	           3	3	         110	     513.7	          62.2	          65
Orleans	02240000	MATH	          64	59	          12	11	          52	48	          39	36	           6	6	         109	     504.6	          44.3	          64
Orleans	02240000	SCI	          33	79	           7	17	          26	62	           8	19	           1	2	          42	     511.6		
Oxford	02260000	ELA	         363	44	          39	5	         324	40	         369	45	          84	10	         816	     497.2	          45.2	         645
