District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Benjamin Franklin Classical Charter Public (District)	04470000	ELA	         218	72	          39	13	         179	59	          75	25	           8	3	         301	     511.2	          44.6	         249
Benjamin Franklin Classical Charter Public (District)	04470000	MATH	         217	72	          57	19	         160	53	          77	25	           8	3	         302	     511.6	          41.3	         249
Benjamin Franklin Classical Charter Public (District)	04470000	SCI	          68	71	          14	15	          54	56	          23	24	           5	5	          96	     509.4		
Bentley Academy Charter School (District)	35110000	ELA	          48	32	           1	1	          47	31	          89	59	          13	9	         150	     492.6	          44.0	          90
Bentley Academy Charter School (District)	35110000	MATH	          42	28	           1	1	          41	27	          76	51	          32	21	         150	     486.0	          49.5	          90
Bentley Academy Charter School (District)	35110000	SCI	          16	44	           3	8	          13	36	          19	53	           1	3	          36	     499.4		
Berkley	00270000	ELA	         328	57	          74	13	         254	44	         217	38	          31	5	         576	     505.2	          48.7	         463
Berkley	00270000	MATH	         309	54	          38	7	         271	47	         239	42	          27	5	         575	     501.2	          47.7	         462
Berkley	00270000	SCI	         117	57	          13	6	         104	50	          77	37	          13	6	         207	     501.3		
Berkshire Arts and Technology Charter Public (District)	04140000	ELA	         100	49	          21	10	          79	38	          81	39	          25	12	         206	     498.4	          49.4	         190
Berkshire Arts and Technology Charter Public (District)	04140000	MATH	          97	47	          18	9	          79	38	          97	47	          12	6	         206	     500.0	          53.9	         191
Berkshire Arts and Technology Charter Public (District)	04140000	SCI	          34	46	           7	9	          27	36	          38	51	           2	3	          74	     501.6		
Berkshire Hills	06180000	ELA	         238	51	          48	10	         190	41	         178	38	          47	10	         463	     501.5	          57.7	         365
Berkshire Hills	06180000	MATH	         197	42	          26	6	         171	37	         215	46	          54	12	         466	     496.6	          55.5	         364
Berkshire Hills	06180000	SCI	          71	41	           8	5	          63	36	          84	48	          20	11	         175	     495.6		
Berlin (non-op)	00280000	ELA	          53	61	           3	3	          50	57	          31	36	           3	3	          87	     505.3	          48.7	          48
Berlin (non-op)	00280000	MATH	          67	78	           9	10	          58	67	          17	20	           2	2	          86	     509.3	          55.9	          48
Berlin (non-op)	00280000	SCI	          21	68	           3	10	          18	58	           8	26	           2	6	          31	     505.2		
Berlin-Boylston	06200000	ELA	         183	68	          34	13	         149	55	          72	27	          16	6	         271	     507.5	          54.2	         255
Berlin-Boylston	06200000	MATH	         165	60	          27	10	         138	51	          95	35	          13	5	         273	     505.4	          52.3	         257
Berlin-Boylston	06200000	SCI	          68	73	          13	14	          55	59	          22	24	           3	3	          93	     512.1		
Beverly	00300000	ELA	       1,222	57	         212	10	       1,010	47	         748	35	         179	8	       2,149	     503.4	          47.5	       1,683
Beverly	00300000	MATH	       1,124	52	         193	9	         931	43	         815	38	         211	10	       2,150	     500.8	          47.5	       1,686
Beverly	00300000	SCI	         363	50	          51	7	         312	43	         288	39	          80	11	         731	     498.7		
Billerica	00310000	ELA	       1,262	54	         161	7	       1,101	47	         901	38	         178	8	       2,341	     501.8	          50.6	       1,865
Billerica	00310000	MATH	       1,148	49	         186	8	         962	41	       1,026	44	         170	7	       2,344	     500.2	          47.4	       1,868
Billerica	00310000	SCI	         381	49	          41	5	         340	44	         338	44	          54	7	         773	     500.3		
